produto;grupo;tipo_cultura;ano;area_ha;valor_mil_reais;n_municipios;pct_area_estado;pct_valor_estado;valor_por_ha_reais
Batata-doce;Raízes e tubérculos;temporária;2020;25,0;273,0;4;0,0;0,0;10920,0
Batata-doce;Raízes e tubérculos;temporária;2021;27,0;305,0;4;0,0;0,0;11296,0
Batata-doce;Raízes e tubérculos;temporária;2022;27,0;207,0;4;0,0;0,0;7667,0
Batata-doce;Raízes e tubérculos;temporária;2023;27,0;262,0;4;0,0;0,0;9704,0
Batata-doce;Raízes e tubérculos;temporária;2024;40,0;402,0;5;0,0;0,0;10050,0
Batata-doce;Raízes e tubérculos;temporária;2025;24,0;265,0;4;0,0;0,0;11042,0
Borracha (látex coagulado);Perenes comerciais;permanente;2016;936,0;3421,0;6;0,06;0,03;3655,0
Borracha (látex coagulado);Perenes comerciais;permanente;2017;413,0;232,0;5;0,02;0,0;562,0
Borracha (látex coagulado);Perenes comerciais;permanente;2018;814,0;2822,0;5;0,05;0,03;3467,0
Borracha (látex coagulado);Perenes comerciais;permanente;2019;866,0;3434,0;4;0,05;0,03;3965,0
Borracha (látex coagulado);Perenes comerciais;permanente;2020;816,0;2978,0;3;0,04;0,02;3650,0
Borracha (látex coagulado);Perenes comerciais;permanente;2021;866,0;3149,0;4;0,04;0,02;3636,0
Borracha (látex coagulado);Perenes comerciais;permanente;2022;866,0;4365,0;4;0,04;0,02;5040,0
Borracha (látex coagulado);Perenes comerciais;permanente;2023;816,0;3714,0;3;0,03;0,01;4551,0
Borracha (látex coagulado);Perenes comerciais;permanente;2024;86,0;255,0;3;0,0;0,0;2965,0
Cacau (em amêndoa);Perenes comerciais;permanente;2016;130193,0;789948,0;57;8,3;8,0;6068,0
Cacau (em amêndoa);Perenes comerciais;permanente;2017;131891,0;849559,0;58;7,63;7,94;6441,0
Cacau (em amêndoa);Perenes comerciais;permanente;2018;129247,0;1049657,0;60;7,59;10,42;8121,0
Cacau (em amêndoa);Perenes comerciais;permanente;2019;140549,0;1197408,0;63;7,72;11,3;8520,0
Cacau (em amêndoa);Perenes comerciais;permanente;2020;150051,0;1726030,0;65;7,44;11,3;11503,0
Cacau (em amêndoa);Perenes comerciais;permanente;2021;149912,0;1925806,0;64;6,94;9,33;12846,0
Cacau (em amêndoa);Perenes comerciais;permanente;2022;152837,0;1896310,0;65;6,61;7,78;12407,0
Cacau (em amêndoa);Perenes comerciais;permanente;2023;161866,0;2009792,0;68;6,35;7,03;12416,0
Cacau (em amêndoa);Perenes comerciais;permanente;2024;164620,0;7716788,0;78;5,81;21,46;46876,0
Cacau (em amêndoa);Perenes comerciais;permanente;2025;170641,0;6159877,0;80;5,06;16,05;36098,0
Café (em grão) Total;Perenes comerciais;permanente;2016;456,0;1241,0;19;0,03;0,01;2721,0
Café (em grão) Total;Perenes comerciais;permanente;2017;460,0;1203,0;20;0,03;0,01;2615,0
Café (em grão) Total;Perenes comerciais;permanente;2018;324,0;664,0;18;0,02;0,01;2049,0
Café (em grão) Total;Perenes comerciais;permanente;2019;271,0;460,0;14;0,01;0,0;1697,0
Café (em grão) Total;Perenes comerciais;permanente;2020;203,0;340,0;13;0,01;0,0;1675,0
Café (em grão) Total;Perenes comerciais;permanente;2021;199,0;480,0;13;0,01;0,0;2412,0
Café (em grão) Total;Perenes comerciais;permanente;2022;187,0;551,0;10;0,01;0,0;2947,0
Café (em grão) Total;Perenes comerciais;permanente;2023;203,0;861,0;12;0,01;0,0;4241,0
Café (em grão) Total;Perenes comerciais;permanente;2024;137,0;1870,0;8;0,0;0,01;13650,0
Café (em grão) Total;Perenes comerciais;permanente;2025;158,0;2123,0;9;0,0;0,01;13437,0
Cana-de-açúcar;Cana e forragens;temporária;2016;13359,0;77593,0;36;0,85;0,79;5808,0
Cana-de-açúcar;Cana e forragens;temporária;2017;12596,0;74445,0;32;0,73;0,7;5910,0
Cana-de-açúcar;Cana e forragens;temporária;2018;13475,0;79664,0;34;0,79;0,79;5912,0
Cana-de-açúcar;Cana e forragens;temporária;2019;14920,0;105028,0;35;0,82;0,99;7039,0
Cana-de-açúcar;Cana e forragens;temporária;2020;14906,0;124387,0;33;0,74;0,81;8345,0
Cana-de-açúcar;Cana e forragens;temporária;2021;14908,0;126759,0;34;0,69;0,61;8503,0
Cana-de-açúcar;Cana e forragens;temporária;2022;17479,0;149970,0;34;0,76;0,62;8580,0
Cana-de-açúcar;Cana e forragens;temporária;2023;17476,0;150024,0;33;0,69;0,52;8585,0
Cana-de-açúcar;Cana e forragens;temporária;2024;17516,0;152722,0;35;0,62;0,42;8719,0
Cana-de-açúcar;Cana e forragens;temporária;2025;17434,0;177277,0;33;0,52;0,46;10168,0
Castanha de caju;Perenes comerciais;permanente;2016;2323,0;3497,0;10;0,15;0,04;1505,0
Castanha de caju;Perenes comerciais;permanente;2017;2335,0;2021,0;10;0,14;0,02;866,0
Castanha de caju;Perenes comerciais;permanente;2018;1835,0;3719,0;13;0,11;0,04;2027,0
Castanha de caju;Perenes comerciais;permanente;2019;1153,0;1800,0;12;0,06;0,02;1561,0
Castanha de caju;Perenes comerciais;permanente;2020;1110,0;1560,0;12;0,06;0,01;1405,0
Castanha de caju;Perenes comerciais;permanente;2021;1064,0;1811,0;12;0,05;0,01;1702,0
Castanha de caju;Perenes comerciais;permanente;2022;1072,0;2158,0;12;0,05;0,01;2013,0
Castanha de caju;Perenes comerciais;permanente;2023;1081,0;1984,0;12;0,04;0,01;1835,0
Castanha de caju;Perenes comerciais;permanente;2024;850,0;1533,0;10;0,03;0,0;1804,0
Castanha de caju;Perenes comerciais;permanente;2025;1005,0;1982,0;10;0,03;0,01;1972,0
Cebola;Hortaliças;temporária;2016;15,0;630,0;1;0,0;0,01;42000,0
Cebola;Hortaliças;temporária;2017;20,0;770,0;1;0,0;0,01;38500,0
Cebola;Hortaliças;temporária;2018;20,0;770,0;1;0,0;0,01;38500,0
Cebola;Hortaliças;temporária;2019;20,0;840,0;1;0,0;0,01;42000,0
Cebola;Hortaliças;temporária;2020;21,0;1029,0;1;0,0;0,01;49000,0
Cebola;Hortaliças;temporária;2021;20,0;700,0;1;0,0;0,0;35000,0
Cebola;Hortaliças;temporária;2022;20,0;1190,0;1;0,0;0,0;59500,0
Coco-da-baía;Frutas;permanente;2016;19188,0;108895,0;109;1,22;1,1;5675,0
Coco-da-baía;Frutas;permanente;2017;18595,0;123291,0;108;1,08;1,15;6630,0
Coco-da-baía;Frutas;permanente;2018;18581,0;108839,0;101;1,09;1,08;5858,0
Coco-da-baía;Frutas;permanente;2019;17311,0;93655,0;100;0,95;0,88;5410,0
Coco-da-baía;Frutas;permanente;2020;19214,0;208247,0;98;0,95;1,36;10838,0
Coco-da-baía;Frutas;permanente;2021;17656,0;218756,0;99;0,82;1,06;12390,0
Coco-da-baía;Frutas;permanente;2022;17459,0;215700,0;99;0,75;0,89;12355,0
Coco-da-baía;Frutas;permanente;2023;16968,0;252510,0;93;0,67;0,88;14882,0
Coco-da-baía;Frutas;permanente;2024;16868,0;254341,0;91;0,6;0,71;15078,0
Coco-da-baía;Frutas;permanente;2025;19081,0;264685,0;88;0,57;0,69;13872,0
Cupuaçu;Frutas;permanente;2025;8677,0;105855,0;91;0,26;0,28;12199,0
Dendê (cacho de coco);Perenes comerciais;permanente;2016;99402,0;382478,0;25;6,34;3,87;3848,0
Dendê (cacho de coco);Perenes comerciais;permanente;2017;101795,0;393914,0;26;5,89;3,68;3870,0
Dendê (cacho de coco);Perenes comerciais;permanente;2018;148879,0;548787,0;26;8,74;5,45;3686,0
Dendê (cacho de coco);Perenes comerciais;permanente;2019;164410,0;636696,0;28;9,03;6,01;3873,0
Dendê (cacho de coco);Perenes comerciais;permanente;2020;188542,0;804150,0;30;9,35;5,27;4265,0
Dendê (cacho de coco);Perenes comerciais;permanente;2021;183952,0;1011334,0;29;8,52;4,9;5498,0
Dendê (cacho de coco);Perenes comerciais;permanente;2022;185963,0;1206494,0;30;8,04;4,95;6488,0
Dendê (cacho de coco);Perenes comerciais;permanente;2023;186240,0;1785288,0;30;7,31;6,24;9586,0
Dendê (cacho de coco);Perenes comerciais;permanente;2024;204120,0;2224022,0;30;7,21;6,19;10896,0
Dendê (cacho de coco);Perenes comerciais;permanente;2025;212596,0;2561830,0;31;6,3;6,68;12050,0
Feijão (em grão);Grãos e oleaginosas;temporária;2016;31361,0;83458,0;115;2,0;0,85;2661,0
Feijão (em grão);Grãos e oleaginosas;temporária;2017;33478,0;71082,0;115;1,94;0,66;2123,0
Feijão (em grão);Grãos e oleaginosas;temporária;2018;27112,0;40751,0;111;1,59;0,4;1503,0
Feijão (em grão);Grãos e oleaginosas;temporária;2019;27464,0;48650,0;107;1,51;0,46;1771,0
Feijão (em grão);Grãos e oleaginosas;temporária;2020;26199,0;56921,0;108;1,3;0,37;2173,0
Feijão (em grão);Grãos e oleaginosas;temporária;2021;27016,0;72159,0;109;1,25;0,35;2671,0
Feijão (em grão);Grãos e oleaginosas;temporária;2022;27360,0;79854,0;110;1,18;0,33;2919,0
Feijão (em grão);Grãos e oleaginosas;temporária;2023;26749,0;91846,0;107;1,05;0,32;3434,0
Feijão (em grão);Grãos e oleaginosas;temporária;2024;21374,0;70571,0;100;0,75;0,2;3302,0
Feijão (em grão);Grãos e oleaginosas;temporária;2025;17428,0;58536,0;101;0,52;0,15;3359,0
Fumo (em folha);Fibras e fumo;temporária;2016;19,0;91,0;3;0,0;0,0;4789,0
Fumo (em folha);Fibras e fumo;temporária;2017;17,0;112,0;2;0,0;0,0;6588,0
Fumo (em folha);Fibras e fumo;temporária;2018;25,0;140,0;2;0,0;0,0;5600,0
Fumo (em folha);Fibras e fumo;temporária;2019;20,0;144,0;1;0,0;0,0;7200,0
Fumo (em folha);Fibras e fumo;temporária;2020;20,0;224,0;1;0,0;0,0;11200,0
Fumo (em folha);Fibras e fumo;temporária;2021;10,0;46,0;1;0,0;0,0;4600,0
Fumo (em folha);Fibras e fumo;temporária;2022;10,0;104,0;1;0,0;0,0;10400,0
Fumo (em folha);Fibras e fumo;temporária;2023;15,0;192,0;1;0,0;0,0;12800,0
Fumo (em folha);Fibras e fumo;temporária;2024;30,0;291,0;1;0,0;0,0;9700,0
Fumo (em folha);Fibras e fumo;temporária;2025;35,0;480,0;1;0,0;0,0;13714,0
Gergelim;Grãos e oleaginosas;temporária;2025;147130,0;327643,0;15;4,36;0,85;2227,0
Goiaba;Frutas;permanente;2016;287,0;5702,0;9;0,02;0,06;19868,0
Goiaba;Frutas;permanente;2017;309,0;9535,0;10;0,02;0,09;30858,0
Goiaba;Frutas;permanente;2018;313,0;5379,0;12;0,02;0,05;17185,0
Goiaba;Frutas;permanente;2019;352,0;7009,0;10;0,02;0,07;19912,0
Goiaba;Frutas;permanente;2020;344,0;8452,0;9;0,02;0,06;24570,0
