produto;grupo;tipo_cultura;ano;area_ha;valor_mil_reais;n_municipios;pct_area_estado;pct_valor_estado;valor_por_ha_reais
Milho verde;Hortaliças;temporária;2025;2787,0;67273,0;24;0,08;0,18;24138,0
Palmito;Perenes comerciais;permanente;2016;575,0;4813,0;4;0,04;0,05;8370,0
Palmito;Perenes comerciais;permanente;2017;575,0;4821,0;4;0,03;0,05;8384,0
Palmito;Perenes comerciais;permanente;2018;520,0;3909,0;3;0,03;0,04;7517,0
Palmito;Perenes comerciais;permanente;2019;220,0;1679,0;2;0,01;0,02;7632,0
Palmito;Perenes comerciais;permanente;2020;220,0;897,0;2;0,01;0,01;4077,0
Palmito;Perenes comerciais;permanente;2021;225,0;1013,0;2;0,01;0,0;4502,0
Palmito;Perenes comerciais;permanente;2022;215,0;1675,0;2;0,01;0,01;7791,0
Palmito;Perenes comerciais;permanente;2023;110,0;1058,0;2;0,0;0,0;9618,0
Palmito;Perenes comerciais;permanente;2024;215,0;814,0;2;0,01;0,0;3786,0
Pimenta-do-reino;Perenes comerciais;permanente;2016;16753,0;836181,0;81;1,07;8,47;49912,0
Pimenta-do-reino;Perenes comerciais;permanente;2017;16289,0;515742,0;80;0,94;4,82;31662,0
Pimenta-do-reino;Perenes comerciais;permanente;2018;15713,0;240241,0;79;0,92;2,38;15289,0
Pimenta-do-reino;Perenes comerciais;permanente;2019;16409,0;223996,0;80;0,9;2,11;13651,0
Pimenta-do-reino;Perenes comerciais;permanente;2020;16395,0;339781,0;81;0,81;2,22;20725,0
Pimenta-do-reino;Perenes comerciais;permanente;2021;16322,0;458457,0;82;0,76;2,22;28088,0
Pimenta-do-reino;Perenes comerciais;permanente;2022;18069,0;470854,0;80;0,78;1,93;26059,0
Pimenta-do-reino;Perenes comerciais;permanente;2023;17744,0;472263,0;81;0,7;1,65;26615,0
Pimenta-do-reino;Perenes comerciais;permanente;2024;18515,0;1248359,0;80;0,65;3,47;67424,0
Pimenta-do-reino;Perenes comerciais;permanente;2025;18560,0;1179084,0;78;0,55;3,07;63528,0
Soja (em grão);Grãos e oleaginosas;temporária;2016;433813,0;1574981,0;27;27,67;15,96;3631,0
Soja (em grão);Grãos e oleaginosas;temporária;2017;500385,0;1568241,0;29;28,94;14,65;3134,0
Soja (em grão);Grãos e oleaginosas;temporária;2018;557542,0;1744034,0;29;32,74;17,31;3128,0
Soja (em grão);Grãos e oleaginosas;temporária;2019;577764,0;1985588,0;32;31,74;18,74;3437,0
Soja (em grão);Grãos e oleaginosas;temporária;2020;643267,0;2823607,0;32;31,91;18,49;4389,0
Soja (em grão);Grãos e oleaginosas;temporária;2021;753781,0;5601634,0;32;34,91;27,13;7431,0
Soja (em grão);Grãos e oleaginosas;temporária;2022;839560,0;7483981,0;31;36,29;30,72;8914,0
Soja (em grão);Grãos e oleaginosas;temporária;2023;1007539,0;6776978,0;32;39,54;23,7;6726,0
Soja (em grão);Grãos e oleaginosas;temporária;2024;1194024,0;7307684,0;41;42,16;20,33;6120,0
Soja (em grão);Grãos e oleaginosas;temporária;2025;1323964,0;8381745,0;41;39,26;21,84;6331,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2016;5270,0;4216,0;3;0,34;0,04;800,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2017;5472,0;4362,0;3;0,32;0,04;797,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2018;4485,0;4599,0;3;0,26;0,05;1025,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2019;20651,0;15668,0;8;1,13;0,15;759,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2020;20251,0;20773,0;8;1,0;0,14;1026,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2021;20537,0;35546,0;5;0,95;0,17;1731,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2022;21857,0;50142,0;7;0,94;0,21;2294,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2023;30045,0;44864,0;8;1,18;0,16;1493,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2024;72945,0;85385,0;9;2,58;0,24;1171,0
Sorgo (em grão);Grãos e oleaginosas;temporária;2025;83330,0;136315,0;13;2,47;0,36;1636,0
Tangerina;Frutas;permanente;2016;489,0;1408,0;14;0,03;0,01;2879,0
Tangerina;Frutas;permanente;2017;707,0;6141,0;16;0,04;0,06;8686,0
Tangerina;Frutas;permanente;2018;436,0;2439,0;13;0,03;0,02;5594,0
Tangerina;Frutas;permanente;2019;976,0;6297,0;16;0,05;0,06;6452,0
Tangerina;Frutas;permanente;2020;991,0;22975,0;16;0,05;0,15;23184,0
Tangerina;Frutas;permanente;2021;114,0;1051,0;13;0,01;0,01;9219,0
Tangerina;Frutas;permanente;2022;121,0;1686,0;13;0,01;0,01;13934,0
Tangerina;Frutas;permanente;2023;121,0;2054,0;14;0,0;0,01;16975,0
Tangerina;Frutas;permanente;2024;148,0;2647,0;15;0,01;0,01;17885,0
Tangerina;Frutas;permanente;2025;149,0;2781,0;16;0,0;0,01;18664,0
Tomate;Hortaliças;temporária;2016;254,0;18142,0;16;0,02;0,18;71425,0
Tomate;Hortaliças;temporária;2017;242,0;16691,0;15;0,01;0,16;68971,0
Tomate;Hortaliças;temporária;2018;238,0;13475,0;15;0,01;0,13;56618,0
Tomate;Hortaliças;temporária;2019;208,0;13097,0;14;0,01;0,12;62966,0
Tomate;Hortaliças;temporária;2020;210,0;12542,0;14;0,01;0,08;59724,0
Tomate;Hortaliças;temporária;2021;212,0;15543,0;14;0,01;0,08;73316,0
Tomate;Hortaliças;temporária;2022;167,0;13585,0;14;0,01;0,06;81347,0
Tomate;Hortaliças;temporária;2023;158,0;18268,0;15;0,01;0,06;115620,0
Tomate;Hortaliças;temporária;2024;127,0;12167,0;13;0,0;0,03;95803,0
Tomate;Hortaliças;temporária;2025;74,0;7726,0;10;0,0;0,02;104405,0
Urucum (semente);Perenes comerciais;permanente;2016;1248,0;5356,0;34;0,08;0,05;4292,0
Urucum (semente);Perenes comerciais;permanente;2017;1350,0;6992,0;32;0,08;0,07;5179,0
Urucum (semente);Perenes comerciais;permanente;2018;1318,0;5643,0;33;0,08;0,06;4281,0
Urucum (semente);Perenes comerciais;permanente;2019;1141,0;3311,0;31;0,06;0,03;2902,0
Urucum (semente);Perenes comerciais;permanente;2020;1015,0;3207,0;30;0,05;0,02;3160,0
Urucum (semente);Perenes comerciais;permanente;2021;977,0;4823,0;31;0,05;0,02;4937,0
Urucum (semente);Perenes comerciais;permanente;2022;935,0;5374,0;31;0,04;0,02;5748,0
Urucum (semente);Perenes comerciais;permanente;2023;856,0;4370,0;31;0,03;0,02;5105,0
Urucum (semente);Perenes comerciais;permanente;2024;852,0;9675,0;33;0,03;0,03;11356,0
Urucum (semente);Perenes comerciais;permanente;2025;781,0;11192,0;33;0,02;0,03;14330,0
