municipio;ano;area_total_ha;valor_total_mil_reais;total_status;n_produtos_cultivados;hhi_area;produto_lider_valor;valor_produto_lider;area_ha_Cana e forragens;area_ha_Fibras e fumo;area_ha_Frutas;area_ha_Grãos e oleaginosas;area_ha_Hortaliças;area_ha_Perenes comerciais;area_ha_Raízes e tubérculos;uf;ano_preliminar;pct_soja_milho_area;valor_por_ha_reais
Nova Esperança do Piriá;2018;5920,0;39347,0;informado;10,0;0,373;Mandioca;15750,0;0,0;200,0;620,0;1150,0;0,0;450,0;3500,0;PA;False;8,4;6646,0
Nova Ipixuna;2018;1136,0;3666,0;informado;10,0;0,393;Mandioca;1243,0;0,0;0,0;150,0;730,0;0,0;6,0;250,0;PA;False;58,1;3227,0
Nova Timboteua;2018;2850,0;13922,0;informado;8,0;0,323;Mandioca;6750,0;0,0;0,0;250,0;700,0;0,0;400,0;1500,0;PA;False;10,5;4885,0
Novo Progresso;2018;13449,0;40324,0;informado;19,0;0,409;Soja (em grão);25992,0;5,0;0,0;224,0;12209,0;0,0;11,0;1000,0;PA;False;72,9;2998,0
Novo Repartimento;2018;11727,0;106713,0;informado;10,0;0,586;Banana (cacho);49305,0;0,0;0,0;1941,0;530,0;0,0;8756,0;500,0;PA;False;2,6;9100,0
Óbidos;2018;21302,0;61073,0;informado;15,0;0,883;Mandioca;55200,0;12,0;0,0;387,0;898,0;0,0;5,0;20000,0;PA;False;3,8;2867,0
Oeiras do Pará;2018;7697,0;90754,0;informado;8,0;0,409;Açaí;57864,0;0,0;0,0;3227,0;370,0;0,0;300,0;3800,0;PA;False;1,6;11791,0
Oriximiná;2018;15423,0;53288,0;informado;13,0;0,946;Mandioca;50400,0;4,0;0,0;162,0;257,0;0,0;0,0;15000,0;PA;False;0,8;3455,0
Ourém;2018;1675,0;5834,0;informado;8,0;0,333;Mandioca;2700,0;0,0;10,0;295,0;300,0;0,0;170,0;900,0;PA;False;11,9;3483,0
Ourilândia do Norte;2018;1094,0;8224,0;informado;10,0;0,255;Cacau (em amêndoa);3348,0;0,0;0,0;197,0;352,0;0,0;420,0;125,0;PA;False;27,4;7517,0
Pacajá;2018;10466,0;68277,0;informado;18,0;0,252;Cacau (em amêndoa);32210,0;5,0;0,0;884,0;2903,0;0,0;4474,0;2200,0;PA;False;19,1;6524,0
Palestina do Pará;2018;905,0;5407,0;informado;4,0;0,344;Banana (cacho);4500,0;0,0;0,0;300,0;485,0;0,0;0,0;120,0;PA;False;45,9;5975,0
Paragominas;2018;172725,0;582271,0;informado;15,0;0,809;Soja (em grão);511500,0;0,0;0,0;250,0;167150,0;0,0;825,0;4500,0;PA;False;94,9;3371,0
Parauapebas;2018;8995,0;128317,0;informado;16,0;0,227;Mandioca;61830,0;0,0;0,0;2330,0;3960,0;70,0;115,0;2520,0;PA;False;34,0;14265,0
Pau D'Arco;2018;622,0;2291,0;informado;5,0;0,545;Mandioca;1920,0;0,0;0,0;22,0;170,0;0,0;0,0;430,0;PA;False;25,7;3683,0
Peixe-Boi;2018;1714,0;5255,0;informado;10,0;0,251;Mandioca;1625,0;0,0;6,0;378,0;650,0;0,0;30,0;650,0;PA;False;23,3;3066,0
Piçarra;2018;4651,0;31830,0;informado;7,0;0,509;Mandioca;18800,0;0,0;0,0;85,0;3142,0;0,0;274,0;1150,0;PA;False;66,7;6844,0
Placas;2018;15450,0;89796,0;informado;15,0;0,473;Cacau (em amêndoa);69074,0;30,0;0,0;1912,0;1935,0;0,0;10973,0;600,0;PA;False;10,7;5812,0
Ponta de Pedras;2018;3408,0;40513,0;informado;5,0;0,938;Açaí;40131,0;0,0;0,0;3335,0;43,0;0,0;0,0;30,0;PA;False;0,4;11888,0
Portel;2018;14076,0;184123,0;informado;6,0;0,746;Mandioca;154800,0;0,0;0,0;1961,0;115,0;0,0;0,0;12000,0;PA;False;0,8;13081,0
Porto de Moz;2018;1206,0;12362,0;informado;16,0;0,186;Açaí;5140,0;15,0;0,0;451,0;310,0;0,0;30,0;400,0;PA;False;11,6;10250,0
Prainha;2018;4868,0;22526,0;informado;19,0;0,299;Mandioca;9315,0;6,0;0,0;654,0;2290,0;8,0;110,0;1800,0;PA;False;39,0;4627,0
Primavera;2018;1296,0;3893,0;informado;6,0;0,435;Mandioca;2880,0;0,0;0,0;70,0;406,0;0,0;20,0;800,0;PA;False;19,3;3004,0
Quatipuru;2018;508,0;1736,0;informado;6,0;0,636;Mandioca;1440,0;0,0;5,0;13,0;90,0;0,0;0,0;400,0;PA;False;7,9;3417,0
Redenção;2018;10622,0;24122,0;informado;9,0;0,437;Soja (em grão);10318,0;0,0;0,0;202,0;9920,0;0,0;0,0;500,0;PA;False;93,1;2271,0
Rio Maria;2018;2478,0;26434,0;informado;10,0;0,313;Abacaxi;21600,0;0,0;0,0;1243,0;1150,0;0,0;20,0;65,0;PA;False;38,7;10667,0
Rondon do Pará;2018;51995,0;172770,0;informado;9,0;0,925;Soja (em grão);165000,0;0,0;0,0;80,0;51290,0;25,0;0,0;600,0;PA;False;98,1;3323,0
Rurópolis;2018;9323,0;35541,0;informado;17,0;0,153;Banana (cacho);11200,0;35,0;0,0;2367,0;4500,0;0,0;1571,0;850,0;PA;False;31,1;3812,0
Salinópolis;2018;1080,0;3783,0;informado;5,0;0,252;Coco-da-baía;1800,0;0,0;0,0;300,0;430,0;0,0;0,0;350,0;PA;False;18,5;3503,0
Salvaterra;2018;1740,0;17759,0;informado;5,0;0,501;Abacaxi;15000,0;0,0;0,0;600,0;1100,0;0,0;0,0;40,0;PA;False;0,0;10206,0
Santa Bárbara do Pará;2018;455,0;2272,0;informado;4,0;0,394;Açaí;1408,0;0,0;0,0;200,0;55,0;0,0;0,0;200,0;PA;False;6,6;4993,0
Santa Izabel do Pará;2018;5985,0;122676,0;informado;10,0;0,706;Açaí;116667,0;0,0;0,0;5165,0;0,0;0,0;750,0;70,0;PA;False;0,0;20497,0
Santa Luzia do Pará;2018;2160,0;16231,0;informado;9,0;0,224;Banana (cacho);9504,0;0,0;100,0;415,0;620,0;0,0;175,0;850,0;PA;False;18,5;7514,0
Santa Maria das Barreiras;2018;53681,0;118861,0;informado;10,0;0,488;Soja (em grão);67200,0;0,0;0,0;191,0;52700,0;0,0;0,0;790,0;PA;False;95,9;2214,0
Santa Maria do Pará;2018;9270,0;75561,0;informado;8,0;0,751;Mandioca;70000,0;0,0;0,0;130,0;665,0;0,0;475,0;8000,0;PA;False;7,0;8151,0
Santana do Araguaia;2018;101072,0;288966,0;informado;9,0;0,571;Soja (em grão);217998,0;0,0;0,0;74,0;99500,0;0,0;698,0;800,0;PA;False;96,5;2859,0
Santarém;2018;33304,0;99443,0;informado;21,0;0,404;Soja (em grão);60013,0;15,0;0,0;373,0;28650,0;12,0;254,0;4000,0;PA;False;82,3;2986,0
Santarém Novo;2018;950,0;3069,0;informado;7,0;0,438;Mandioca;1800,0;0,0;0,0;55,0;270,0;0,0;25,0;600,0;PA;False;10,5;3231,0
Santo Antônio do Tauá;2018;5110,0;37560,0;informado;11,0;0,354;Dendê (cacho de coco);9203,0;0,0;0,0;1560,0;100,0;0,0;3150,0;300,0;PA;False;1,2;7350,0
São Caetano de Odivelas;2018;988,0;6352,0;informado;10,0;0,519;Mandioca;4200,0;0,0;0,0;177,0;85,0;0,0;26,0;700,0;PA;False;2,0;6429,0
São Domingos do Araguaia;2018;4975,0;27922,0;informado;8,0;0,354;Mandioca;17500,0;0,0;0,0;515,0;2120,0;0,0;40,0;2300,0;PA;False;36,2;5612,0
São Domingos do Capim;2018;12105,0;47313,0;informado;14,0;0,387;Mandioca;23144,0;0,0;0,0;2435,0;535,0;0,0;2135,0;7000,0;PA;False;2,6;3909,0
São Félix do Xingu;2018;10840,0;76893,0;informado;10,0;0,253;Cacau (em amêndoa);21060,0;0,0;0,0;1717,0;5033,0;0,0;2600,0;1490,0;PA;False;43,7;7093,0
São Francisco do Pará;2018;5875,0;43298,0;informado;13,0;0,478;Mandioca;30000,0;50,0;0,0;465,0;600,0;0,0;760,0;4000,0;PA;False;5,1;7370,0
São Geraldo do Araguaia;2018;9735,0;37345,0;informado;8,0;0,439;Banana (cacho);18360,0;0,0;0,0;1845,0;6170,0;0,0;1020,0;700,0;PA;False;62,7;3836,0
São João da Ponta;2018;505,0;6648,0;informado;13,0;0,172;Abacaxi;3780,0;0,0;0,0;201,0;36,0;0,0;138,0;130,0;PA;False;3,0;13164,0
São João de Pirabas;2018;525,0;1422,0;informado;5,0;0,49;Mandioca;1092,0;0,0;0,0;30,0;145,0;0,0;0,0;350,0;PA;False;7,6;2709,0
São João do Araguaia;2018;1872,0;10152,0;informado;11,0;0,2;Banana (cacho);3750,0;0,0;0,0;472,0;850,0;0,0;0,0;550,0;PA;False;42,7;5423,0
São Miguel do Guamá;2018;6998,0;46622,0;informado;9,0;0,537;Mandioca;37500,0;0,0;0,0;498,0;1000,0;0,0;500,0;5000,0;PA;False;0,0;6662,0
São Sebastião da Boa Vista;2018;5070,0;61957,0;informado;2,0;0,973;Açaí;61600,0;0,0;0,0;5000,0;0,0;0,0;0,0;70,0;PA;False;0,0;12220,0
Sapucaia;2018;526,0;2828,0;informado;3,0;0,905;Milho (em grão);2148,0;0,0;0,0;10,0;500,0;0,0;0,0;16,0;PA;False;95,1;5376,0
Senador José Porfírio;2018;4109,0;26019,0;informado;13,0;0,279;Cacau (em amêndoa);13810,0;4,0;0,0;570,0;1350,0;0,0;1835,0;350,0;PA;False;24,3;6332,0
Soure;2018;125,0;196,0;informado;1,0;1,0;Coco-da-baía;196,0;0,0;0,0;125,0;0,0;0,0;0,0;0,0;PA;False;0,0;1568,0
Tailândia;2018;72624,0;257324,0;informado;14,0;0,482;Dendê (cacho de coco);154283,0;0,0;0,0;625,0;22835,0;0,0;48164,0;1000,0;PA;False;30,6;3543,0
Terra Alta;2018;464,0;3398,0;informado;12,0;0,334;Dendê (cacho de coco);906,0;0,0;0,0;90,0;10,0;0,0;294,0;70,0;PA;False;1,1;7323,0
Terra Santa;2018;93,0;383,0;informado;7,0;0,523;Mandioca;187,0;4,0;0,0;13,0;10,0;0,0;0,0;66,0;PA;False;10,8;4118,0
Tomé-Açu;2018;48824,0;232620,0;informado;15,0;0,552;Dendê (cacho de coco);139542,0;0,0;0,0;3954,0;1420,0;0,0;41450,0;2000,0;PA;False;1,5;4764,0
Tracuateua;2018;4359,0;14952,0;informado;15,0;0,411;Mandioca;10334,0;0,0;20,0;249,0;1550,0;0,0;30,0;2510,0;PA;False;6,9;3430,0
Trairão;2018;12037,0;48138,0;informado;18,0;0,174;Mandioca;22750,0;10,0;0,0;1848,0;5450,0;2,0;1467,0;3260,0;PA;False;18,3;3999,0
Tucumã;2018;5562,0;37545,0;informado;9,0;0,604;Cacau (em amêndoa);30872,0;0,0;0,0;150,0;1082,0;0,0;4200,0;130,0;PA;False;18,8;6750,0
Tucuruí;2018;1953,0;18241,0;informado;7,0;0,432;Mandioca;14000,0;0,0;0,0;85,0;830,0;0,0;38,0;1000,0;PA;False;41,0;9340,0
Ulianópolis;2018;88940,0;316949,0;informado;14,0;0,491;Soja (em grão);198000,0;13000,0;0,0;150,0;75170,0;0,0;220,0;400,0;PA;False;76,8;3564,0
Uruará;2018;17525,0;150328,0;informado;17,0;0,565;Cacau (em amêndoa);122650,0;0,0;0,0;1219,0;2350,0;50,0;13081,0;825,0;PA;False;10,8;8578,0
Vigia;2018;1045,0;7435,0;informado;8,0;0,303;Mandioca;3000,0;0,0;0,0;260,0;0,0;0,0;285,0;500,0;PA;False;0,0;7115,0
Viseu;2018;7815,0;37071,0;informado;14,0;0,317;Açaí;14915,0;0,0;120,0;1465,0;2100,0;0,0;100,0;4030,0;PA;False;13,4;4744,0
Vitória do Xingu;2018;5498,0;41365,0;informado;15,0;0,59;Cacau (em amêndoa);31980,0;6,0;0,0;493,0;395,0;0,0;4184,0;420,0;PA;False;5,5;7524,0
Xinguara;2018;2667,0;9227,0;informado;9,0;0,584;Mandioca;3978,0;5,0;0,0;253,0;2012,0;0,0;175,0;222,0;PA;False;75,2;3460,0
Abaetetuba;2019;25940,0;294090,0;informado;18,0;0,613;Açaí;269104,0;100,0;0,0;20485,0;220,0;0,0;2635,0;2500,0;PA;False;0,3;11337,0
Abel Figueiredo;2019;4568,0;16226,0;informado;10,0;0,774;Soja (em grão);14155,0;0,0;0,0;53,0;4140,0;0,0;10,0;365,0;PA;False;90,2;3552,0
Acará;2019;41569,0;236966,0;informado;13,0;0,324;Mandioca;90797,0;0,0;0,0;7099,0;150,0;0,0;16020,0;18300,0;PA;False;0,1;5701,0
Afuá;2019;152,0;1060,0;informado;2,0;0,6;Banana (cacho);540,0;0,0;0,0;42,0;0,0;0,0;0,0;110,0;PA;False;0,0;6974,0
Água Azul do Norte;2019;5742,0;24077,0;informado;10,0;0,66;Milho (em grão);16041,0;0,0;0,0;170,0;5217,0;0,0;30,0;325,0;PA;False;89,7;4193,0
Alenquer;2019;14454,0;91523,0;informado;17,0;0,338;Mandioca;39848,0;20,0;0,0;2404,0;3910,0;3,0;417,0;7700,0;PA;False;20,8;6332,0
Almeirim;2019;774,0;8192,0;informado;16,0;0,121;Açaí;2509,0;8,0;0,0;316,0;150,0;0,0;120,0;180,0;PA;False;12,9;10584,0
Altamira;2019;36451,0;201720,0;informado;22,0;0,276;Soja (em grão);68040,0;45,0;0,0;1665,0;27605,0;8,0;5688,0;1440,0;PA;False;68,6;5534,0
Anajás;2019;2640,0;49578,0;informado;4,0;0,711;Açaí;45338,0;0,0;0,0;2320,0;0,0;0,0;0,0;320,0;PA;False;0,0;18780,0
Ananindeua;2019;38,0;366,0;informado;2,0;0,589;Açaí;209,0;0,0;0,0;38,0;0,0;0,0;0,0;0,0;PA;False;0,0;9632,0
Anapu;2019;9231,0;107857,0;informado;18,0;0,566;Cacau (em amêndoa);85554,0;0,0;0,0;1043,0;1000,0;5,0;6933,0;250,0;PA;False;7,6;11684,0
Augusto Corrêa;2019;2826,0;7014,0;informado;16,0;0,525;Mandioca;2697,0;2,0;10,0;246,0;470,0;0,0;90,0;2008,0;PA;False;3,5;2482,0
Aurora do Pará;2019;4059,0;15580,0;informado;14,0;0,246;Pimenta-do-reino;5925,0;0,0;0,0;1259,0;1000,0;0,0;500,0;1300,0;PA;False;20,7;3838,0
Aveiro;2019;2995,0;11836,0;informado;19,0;0,292;Mandioca;5250,0;12,0;0,0;477,0;602,0;0,0;404,0;1500,0;PA;False;13,4;3952,0
Bagre;2019;3127,0;41715,0;informado;5,0;0,504;Açaí;32760,0;0,0;0,0;1827,0;0,0;0,0;0,0;1300,0;PA;False;0,0;13340,0
Baião;2019;12725,0;83409,0;informado;9,0;0,632;Mandioca;55000,0;0,0;0,0;725,0;250,0;0,0;1750,0;10000,0;PA;False;1,6;6555,0
Bannach;2019;175,0;638,0;informado;6,0;0,335;Banana (cacho);240,0;0,0;0,0;20,0;108,0;0,0;8,0;39,0;PA;False;51,4;3646,0
Barcarena;2019;13912,0;191601,0;informado;16,0;0,542;Açaí;175000,0;5,0;0,0;10477,0;360,0;0,0;1520,0;1550,0;PA;False;2,2;13772,0
Belém;2019;180,0;1053,0;informado;1,0;1,0;Açaí;1053,0;0,0;0,0;180,0;0,0;0,0;0,0;0,0;PA;False;0,0;5850,0
Belterra;2019;22442,0;64490,0;informado;17,0;0,481;Soja (em grão);41553,0;0,0;0,0;243,0;21031,0;2,0;66,0;1100,0;PA;False;92,9;2874,0
Benevides;2019;150,0;675,0;informado;1,0;1,0;Açaí;675,0;0,0;0,0;150,0;0,0;0,0;0,0;0,0;PA;False;0,0;4500,0
Bom Jesus do Tocantins;2019;1159,0;3399,0;informado;12,0;0,273;Mandioca;896,0;0,0;0,0;94,0;650,0;0,0;0,0;415,0;PA;False;34,5;2933,0
Bonito;2019;10000,0;49882,0;informado;9,0;0,814;Dendê (cacho de coco);44845,0;0,0;0,0;180,0;170,0;0,0;9050,0;600,0;PA;False;0,7;4988,0
Bragança;2019;7375,0;18779,0;informado;13,0;0,678;Mandioca;13253,0;10,0;0,0;325,0;980,0;0,0;45,0;6015,0;PA;False;10,8;2546,0
Brasil Novo;2019;8273,0;91295,0;informado;16,0;0,774;Cacau (em amêndoa);78841,0;3,0;0,0;574,0;232,0;0,0;7274,0;190,0;PA;False;2,4;11035,0
Brejo Grande do Araguaia;2019;1505,0;8194,0;informado;8,0;0,346;Banana (cacho);4500,0;0,0;0,0;220,0;1225,0;0,0;0,0;60,0;PA;False;79,7;5445,0
Breu Branco;2019;1159,0;13295,0;informado;10,0;0,288;Pimenta-do-reino;7182,0;0,0;0,0;237,0;0,0;0,0;502,0;420,0;PA;False;0,0;11471,0
Breves;2019;2936,0;51504,0;informado;5,0;0,741;Açaí;48750,0;0,0;0,0;2576,0;0,0;0,0;0,0;360,0;PA;False;0,0;17542,0
Bujaru;2019;8677,0;101878,0;informado;11,0;0,53;Açaí;85760,0;0,0;0,0;6647,0;290,0;0,0;740,0;1000,0;PA;False;1,4;11741,0
Cachoeira do Piriá;2019;3993,0;18730,0;informado;13,0;0,219;Açaí;10406,0;0,0;180,0;953,0;1310,0;0,0;130,0;1420,0;PA;False;20,0;4691,0
Cachoeira do Arari;2019;6890,0;30385,0;informado;5,0;0,765;Arroz (em casca);19222,0;0,0;0,0;660,0;6000,0;0,0;0,0;230,0;PA;False;0,0;4410,0
Cametá;2019;44855,0;339324,0;informado;14,0;0,492;Açaí;271065,0;0,0;0,0;30124,0;694,0;0,0;7037,0;7000,0;PA;False;0,6;7565,0
Canaã dos Carajás;2019;7214,0;28218,0;informado;9,0;0,703;Milho (em grão);12180,0;0,0;0,0;814,0;6120,0;0,0;0,0;280,0;PA;False;83,2;3912,0
Capanema;2019;7297,0;40882,0;informado;11,0;0,473;Mandioca;33600,0;0,0;0,0;175,0;2502,0;0,0;120,0;4500,0;PA;False;4,1;5603,0
Capitão Poço;2019;22950,0;267466,0;informado;14,0;0,252;Laranja;114750,0;0,0;100,0;15600,0;3050,0;0,0;1100,0;3100,0;PA;False;6,5;11654,0
Castanhal;2019;7802,0;70735,0;informado;14,0;0,317;Mandioca;40098,0;0,0;0,0;1460,0;750,0;0,0;1492,0;4100,0;PA;False;4,5;9066,0
Chaves;2019;100,0;333,0;informado;1,0;1,0;Mandioca;333,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;PA;False;0,0;3330,0
Colares;2019;415,0;1905,0;informado;7,0;0,84;Mandioca;1748,0;0,0;0,0;20,0;15,0;0,0;0,0;380,0;PA;False;2,4;4590,0
Conceição do Araguaia;2019;6062,0;32032,0;informado;6,0;0,385;Abacaxi;15275,0;0,0;0,0;1490,0;4172,0;0,0;0,0;400,0;PA;False;68,8;5284,0
Concórdia do Pará;2019;24534,0;111380,0;informado;14,0;0,582;Dendê (cacho de coco);71760,0;0,0;0,0;2395,0;119,0;0,0;19420,0;2600,0;PA;False;0,2;4540,0
Cumaru do Norte;2019;25283,0;79191,0;informado;11,0;0,447;Soja (em grão);48391,0;0,0;0,0;318,0;24465,0;0,0;50,0;450,0;PA;False;94,5;3132,0
Curionópolis;2019;3380,0;14851,0;informado;6,0;0,648;Milho (em grão);5403,0;0,0;0,0;280,0;2680,0;0,0;0,0;420,0;PA;False;79,3;4394,0
Curralinho;2019;1463,0;21250,0;informado;5,0;0,562;Açaí;18000,0;4,0;0,0;1009,0;0,0;0,0;0,0;450,0;PA;False;0,0;14525,0
Curuá;2019;692,0;6749,0;informado;10,0;0,421;Açaí;3548,0;0,0;4,0;525,0;103,0;0,0;0,0;60,0;PA;False;11,6;9753,0
Curuçá;2019;1388,0;11605,0;informado;13,0;0,363;Mandioca;6048,0;0,0;0,0;340,0;30,0;0,0;218,0;800,0;PA;False;1,1;8361,0
Dom Eliseu;2019;93776,0;317566,0;informado;17,0;0,826;Soja (em grão);297755,0;0,0;0,0;394,0;92910,0;5,0;47,0;420,0;PA;False;97,0;3386,0
Eldorado do Carajás;2019;2600,0;12857,0;informado;13,0;0,421;Banana (cacho);4063,0;0,0;0,0;340,0;1690,0;0,0;120,0;450,0;PA;False;61,5;4945,0
Faro;2019;303,0;1042,0;informado;9,0;0,687;Mandioca;614,0;4,0;0,0;44,0;5,0;0,0;0,0;250,0;PA;False;1,7;3439,0
Floresta do Araguaia;2019;16959,0;200164,0;informado;7,0;0,413;Abacaxi;172500,0;0,0;0,0;10175,0;5704,0;0,0;0,0;1080,0;PA;False;33,6;11803,0
Garrafão do Norte;2019;7728,0;37162,0;informado;13,0;0,208;Laranja;9525,0;0,0;20,0;1248,0;1410,0;0,0;2550,0;2500,0;PA;False;10,4;4809,0
Goianésia do Pará;2019;452,0;5579,0;informado;10,0;0,209;Pimenta-do-reino;1893,0;0,0;0,0;175,0;0,0;0,0;127,0;150,0;PA;False;0,0;12343,0
Gurupá;2019;1076,0;12287,0;informado;13,0;0,234;Açaí;7478,0;4,0;0,0;479,0;168,0;0,0;105,0;320,0;PA;False;2,8;11419,0
Igarapé-Açu;2019;8095,0;56651,0;informado;17,0;0,317;Dendê (cacho de coco);16065,0;15,0;0,0;1305,0;195,0;0,0;5480,0;1100,0;PA;False;1,5;6998,0
Igarapé-Miri;2019;47820,0;890990,0;informado;14,0;0,887;Açaí;880000,0;10,0;0,0;45200,0;72,0;0,0;508,0;2030,0;PA;False;0,1;18632,0
Inhangapi;2019;3980,0;37184,0;informado;15,0;0,354;Açaí;20757,0;0,0;0,0;2102,0;23,0;0,0;355,0;1500,0;PA;False;0,3;9343,0
Ipixuna do Pará;2019;14761,0;42824,0;informado;16,0;0,295;Soja (em grão);24738,0;0,0;0,0;206,0;11750,0;0,0;555,0;2250,0;PA;False;66,4;2901,0
Irituia;2019;3851,0;21771,0;informado;12,0;0,227;Dendê (cacho de coco);5882,0;0,0;60,0;867,0;695,0;0,0;1629,0;600,0;PA;False;11,7;5653,0
Itaituba;2019;7527,0;86052,0;informado;21,0;0,354;Banana (cacho);67061,0;10,0;0,0;4615,0;1675,0;5,0;207,0;1015,0;PA;False;10,6;11432,0
Itupiranga;2019;7823,0;55205,0;informado;10,0;0,359;Mandioca;33200,0;0,0;0,0;1067,0;3256,0;0,0;100,0;3400,0;PA;False;40,3;7057,0
Jacareacanga;2019;3175,0;23249,0;informado;12,0;0,441;Mandioca;12150,0;10,0;0,0;331,0;822,0;0,0;12,0;2000,0;PA;False;2,7;7323,0
Jacundá;2019;82,0;651,0;informado;3,0;0,371;Mandioca;331,0;0,0;0,0;15,0;30,0;0,0;0,0;37,0;PA;False;36,6;7939,0
Juruti;2019;12166,0;31864,0;informado;13,0;0,973;Mandioca;30300,0;7,0;15,0;117,0;27,0;0,0;0,0;12000,0;PA;False;0,1;2619,0
Limoeiro do Ajuru;2019;7317,0;73737,0;informado;10,0;0,83;Açaí;67830,0;0,0;0,0;6689,0;90,0;0,0;83,0;455,0;PA;False;0,2;10077,0
Mãe do Rio;2019;1829,0;5416,0;informado;12,0;0,252;Mandioca;1714,0;0,0;0,0;229,0;900,0;0,0;100,0;600,0;PA;False;32,8;2961,0
Magalhães Barata;2019;1145,0;5964,0;informado;9,0;0,766;Mandioca;5100,0;0,0;0,0;80,0;55,0;0,0;10,0;1000,0;PA;False;2,6;5209,0
Marabá;2019;14049,0;88514,0;informado;14,0;0,396;Mandioca;50000,0;0,0;0,0;1049,0;7800,0;0,0;0,0;5200,0;PA;False;54,1;6300,0
Maracanã;2019;2329,0;14458,0;informado;17,0;0,228;Mandioca;4460,0;0,0;0,0;413,0;392,0;0,0;524,0;1000,0;PA;False;8,6;6208,0
Marapanim;2019;974,0;7280,0;informado;14,0;0,373;Mandioca;3603,0;0,0;0,0;217,0;82,0;0,0;95,0;580,0;PA;False;4,1;7474,0
Marituba;2019;;;indisponivel;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;PA;False;;
Medicilândia;2019;49861,0;512920,0;informado;18,0;0,79;Cacau (em amêndoa);425041,0;0,0;0,0;4448,0;855,0;12,0;44166,0;380,0;PA;False;1,4;10287,0
Melgaço;2019;3258,0;19899,0;informado;5,0;0,754;Açaí;18200,0;0,0;0,0;2842,0;0,0;0,0;12,0;404,0;PA;False;0,0;6108,0
Mocajuba;2019;21167,0;71005,0;informado;9,0;0,29;Mandioca;36300,0;0,0;0,0;798,0;11500,0;0,0;1369,0;7500,0;PA;False;18,9;3355,0
Moju;2019;27768,0;184386,0;informado;18,0;0,218;Açaí;61100,0;0,0;0,0;12990,0;1050,0;0,0;7328,0;6400,0;PA;False;3,2;6640,0
Mojuí dos Campos;2019;31964,0;92269,0;informado;19,0;0,519;Soja (em grão);64500,0;4,0;0,0;435,0;29975,0;0,0;150,0;1400,0;PA;False;92,6;2887,0
Monte Alegre;2019;17750,0;59925,0;informado;21,0;0,329;Mandioca;16909,0;15,0;0,0;2545,0;10788,0;40,0;362,0;4000,0;PA;False;50,7;3376,0
Muaná;2019;5310,0;30692,0;informado;3,0;0,978;Açaí;30450,0;0,0;0,0;5260,0;0,0;0,0;0,0;50,0;PA;False;0,0;5780,0
Nova Esperança do Piriá;2019;5975,0;36820,0;informado;11,0;0,382;Mandioca;14400,0;0,0;150,0;652,0;1223,0;0,0;450,0;3500,0;PA;False;16,7;6162,0
Nova Ipixuna;2019;1166,0;6934,0;informado;10,0;0,359;Mandioca;3466,0;0,0;0,0;144,0;670,0;0,0;6,0;346,0;PA;False;51,5;5947,0
Nova Timboteua;2019;1997,0;9798,0;informado;8,0;0,297;Pimenta-do-reino;3240,0;0,0;0,0;217,0;360,0;0,0;420,0;1000,0;PA;False;8,0;4906,0
Novo Progresso;2019;19711,0;64008,0;informado;19,0;0,456;Soja (em grão);41250,0;5,0;0,0;186,0;18509,0;0,0;11,0;1000,0;PA;False;83,7;3247,0
Novo Repartimento;2019;6975,0;78735,0;informado;10,0;0,445;Banana (cacho);53196,0;0,0;0,0;2043,0;260,0;0,0;4172,0;500,0;PA;False;1,1;11288,0
Óbidos;2019;21167,0;199563,0;informado;14,0;0,894;Mandioca;189600,0;12,0;0,0;382,0;770,0;0,0;3,0;20000,0;PA;False;3,3;9428,0
Oeiras do Pará;2019;7926,0;71819,0;informado;8,0;0,416;Açaí;48315,0;0,0;0,0;3527,0;259,0;0,0;340,0;3800,0;PA;False;1,1;9061,0
Oriximiná;2019;15406,0;51512,0;informado;13,0;0,948;Mandioca;46440,0;4,0;0,0;162,0;240,0;0,0;0,0;15000,0;PA;False;0,8;3344,0
Ourém;2019;2005,0;10836,0;informado;10,0;0,267;Laranja;4324,0;0,0;10,0;625,0;300,0;0,0;170,0;900,0;PA;False;10,0;5404,0
Ourilândia do Norte;2019;1528,0;11484,0;informado;10,0;0,352;Cacau (em amêndoa);5847,0;0,0;0,0;209,0;349,0;0,0;830,0;140,0;PA;False;19,6;7516,0
Pacajá;2019;11827,0;75299,0;informado;18,0;0,287;Cacau (em amêndoa);34917,0;10,0;0,0;908,0;2953,0;0,0;5756,0;2200,0;PA;False;16,9;6367,0
Palestina do Pará;2019;825,0;4847,0;informado;4,0;0,45;Banana (cacho);2243,0;0,0;0,0;130,0;565,0;0,0;0,0;130,0;PA;False;63,0;5875,0
Paragominas;2019;188139,0;591253,0;informado;17,0;0,748;Soja (em grão);549180,0;0,0;0,0;570,0;185200,0;0,0;619,0;1750,0;PA;False;92,5;3143,0
Parauapebas;2019;9582,0;126626,0;informado;17,0;0,202;Mandioca;64100,0;0,0;0,0;2342,0;4550,0;70,0;120,0;2500,0;PA;False;38,1;13215,0
Pau D'Arco;2019;617,0;3190,0;informado;5,0;0,554;Mandioca;2593,0;0,0;0,0;22,0;165,0;0,0;0,0;430,0;PA;False;25,9;5170,0
