produto;grupo;ano;area_ha;valor_nominal;valor_real;n_municipios;valor_por_ha_reais
Sorgo (em grão);Grãos e oleaginosas;2024;72945,0;85385,0;89668,59468;9;1229,0
Sorgo (em grão);Grãos e oleaginosas;2025;83330,0;136315,0;136315,0;13;1636,0
Tangerina;Frutas;2016;489,0;1408,0;2193,312;14;4485,0
Tangerina;Frutas;2017;707,0;6141,0;9247,443273;16;13080,0
Tangerina;Frutas;2018;436,0;2439,0;3542,9304239999997;13;8126,0
Tangerina;Frutas;2019;976,0;6297,0;8817,953574;16;9035,0
Tangerina;Frutas;2020;991,0;22975,0;31171,698849999997;16;31455,0
Tangerina;Frutas;2021;114,0;1051,0;1316,6560149999998;13;11550,0
Tangerina;Frutas;2022;121,0;1686,0;1932,79668;13;15974,0
Tangerina;Frutas;2023;121,0;2054,0;2251,2517820000003;14;18605,0
Tangerina;Frutas;2024;148,0;2647,0;2779,794696;15;18782,0
Tangerina;Frutas;2025;149,0;2781,0;2781,0;16;18664,0
Tomate;Hortaliças;2016;254,0;18142,0;28260,7005;16;111263,0
Tomate;Hortaliças;2017;242,0;16691,0;25134,192423;15;103860,0
Tomate;Hortaliças;2018;238,0;13475,0;19574,0006;15;82244,0
Tomate;Hortaliças;2019;208,0;13097,0;18340,279174;14;88174,0
Tomate;Hortaliças;2020;210,0;12542,0;17016,559172;14;81031,0
Tomate;Hortaliças;2021;212,0;15543,0;19471,726394999998;14;91848,0
Tomate;Hortaliças;2022;167,0;13585,0;15573,5723;14;93255,0
Tomate;Hortaliças;2023;158,0;18268,0;20022,330844;15;126724,0
Tomate;Hortaliças;2024;127,0;12167,0;12777,394056000001;13;100609,0
Tomate;Hortaliças;2025;74,0;7726,0;7726,0;10;104405,0
Urucum (semente);Perenes comerciais;2016;1248,0;5356,0;8343,309;34;6685,0
Urucum (semente);Perenes comerciais;2017;1350,0;6992,0;10528,924176;32;7799,0
Urucum (semente);Perenes comerciais;2018;1318,0;5643,0;8197,112088;33;6219,0
Urucum (semente);Perenes comerciais;2019;1141,0;3311,0;4636,532362;31;4064,0
Urucum (semente);Perenes comerciais;2020;1015,0;3207,0;4351,148561999999;30;4287,0
Urucum (semente);Perenes comerciais;2021;977,0;4823,0;6042,085595;31;6184,0
Urucum (semente);Perenes comerciais;2022;935,0;5374,0;6160,64612;31;6589,0
Urucum (semente);Perenes comerciais;2023;856,0;4370,0;4789,66421;31;5595,0
Urucum (semente);Perenes comerciais;2024;852,0;9675,0;10160,3754;33;11925,0
Urucum (semente);Perenes comerciais;2025;781,0;11192,0;11192,0;33;14330,0
