produto;grupo;ano;area_ha;valor_nominal;valor_real;n_municipios;valor_por_ha_reais
Borracha (látex coagulado);Perenes comerciais;2019;866,0;3434,0;4808,774428;4;5553,0
Borracha (látex coagulado);Perenes comerciais;2020;816,0;2978,0;4040,4491479999997;3;4952,0
Borracha (látex coagulado);Perenes comerciais;2021;866,0;3149,0;3944,9569849999993;4;4555,0
Borracha (látex coagulado);Perenes comerciais;2022;866,0;4365,0;5003,9487;4;5778,0
Borracha (látex coagulado);Perenes comerciais;2023;816,0;3714,0;4070,6665620000003;3;4989,0
Borracha (látex coagulado);Perenes comerciais;2024;86,0;255,0;267,79284;3;3114,0
Cacau (em amêndoa);Perenes comerciais;2016;130193,0;789948,0;1230541,497;57;9452,0
Cacau (em amêndoa);Perenes comerciais;2017;131891,0;849559,0;1279310,9688270001;58;9700,0
Cacau (em amêndoa);Perenes comerciais;2018;129247,0;1049657,0;1524748,552712;60;11797,0
Cacau (em amêndoa);Perenes comerciais;2019;140549,0;1197408,0;1676780,7135359999;63;11930,0
Cacau (em amêndoa);Perenes comerciais;2020;150051,0;1726030,0;2341818,81898;65;15607,0
Cacau (em amêndoa);Perenes comerciais;2021;149912,0;1925806,0;2412582,3535899995;64;16093,0
Cacau (em amêndoa);Perenes comerciais;2022;152837,0;1896310,0;2173891,8578;65;14224,0
Cacau (em amêndoa);Perenes comerciais;2023;161866,0;2009792,0;2202798,355136;68;13609,0
Cacau (em amêndoa);Perenes comerciais;2024;164620,0;7716788,0;8103923,8203839995;78;49228,0
Cacau (em amêndoa);Perenes comerciais;2025;170641,0;6159877,0;6159877,0;80;36098,0
Café (em grão) Total;Perenes comerciais;2016;456,0;1241,0;1933,16775;19;4239,0
Café (em grão) Total;Perenes comerciais;2017;460,0;1203,0;1811,541159;20;3938,0
Café (em grão) Total;Perenes comerciais;2018;324,0;664,0;964,537024;18;2977,0
Café (em grão) Total;Perenes comerciais;2019;271,0;460,0;644,15732;14;2377,0
Café (em grão) Total;Perenes comerciais;2020;203,0;340,0;461,30044;13;2272,0
Café (em grão) Total;Perenes comerciais;2021;199,0;480,0;601,3272;13;3022,0
Café (em grão) Total;Perenes comerciais;2022;187,0;551,0;631,65538;10;3378,0
Café (em grão) Total;Perenes comerciais;2023;203,0;861,0;943,6844130000001;12;4649,0
Café (em grão) Total;Perenes comerciais;2024;137,0;1870,0;1963,81416;8;14334,0
Café (em grão) Total;Perenes comerciais;2025;158,0;2123,0;2123,0;9;13437,0
Cana-de-açúcar;Cana e forragens;2016;13359,0;77593,0;120870,49575;36;9048,0
Cana-de-açúcar;Cana e forragens;2017;12596,0;74445,0;112103,226585;32;8900,0
Cana-de-açúcar;Cana e forragens;2018;13475,0;79664,0;115721,201024;34;8588,0
Cana-de-açúcar;Cana e forragens;2019;14920,0;105028,0;147075,11957599997;35;9858,0
Cana-de-açúcar;Cana e forragens;2020;14906,0;124387,0;168764,052442;33;11322,0
